EEG1, EEG2, EEG3, EEG4, EEG5, Eyes
889.2674,878.3883,856.2271,877.1795,892.8938,0
836.8865,876.3736,865.0916,828.8278,793.3699,0
848.1685,871.5385,858.2418,843.7363,816.337,0
897.326,872.3443,848.9744,895.3113,805.4579,0
932.7839,875.5677,849.7802,925.1282,894.5055,0
895.3113,877.1795,860.2564,880,886.4469,0
835.6777,874.7619,869.5238,824.3956,806.2637,0
838.4982,872.3443,863.8828,835.2747,862.2711,0
886.4469,869.1208,854.6154,884.4323,873.1502,0
932.381,869.9268,851.7949,915.4579,897.7289,0
909.8168,876.3736,858.6447,890.8792,868.315,0
843.3333,877.9854,864.2857,832.8571,802.6374,0
838.9011,871.5385,861.0623,834.8718,792.967,0
887.2527,867.1062,851.7949,884.8351,790.5494,0
932.7839,869.9268,844.5421,916.2637,885.6411,0
906.5934,871.5385,848.5714,886.4469,902.1612,0
836.4835,870.3297,856.2271,826.8132,801.4286,0
829.6337,866.7033,854.2125,824.7985,782.0879,0
869.1208,864.2857,846.5568,863.8828,805.8608,0
919.4872,865.8975,839.304,911.0256,912.2344,0
910.6227,865.4945,839.707,897.326,932.381,0
840.5128,863.0769,852.1978,830.4396,830.8425,0
830.0366,862.2711,855.8242,825.2015,770.403,0
864.6887,857.8388,844.1392,865.4945,786.1172,0
912.6374,854.2125,833.663,905.7875,887.6557,0
915.0549,862.2711,834.0659,902.5641,909.011,0
855.8242,868.315,844.1392,841.7216,853.4066,0
837.6923,865.4945,848.9744,819.1575,841.3187,0
872.7473,864.2857,842.1245,860.2564,828.022,0
934.7985,869.9268,839.707,918.6813,887.2527,0
936.8132,875.1649,848.5714,926.7399,924.3223,0
856.6301,865.8975,846.1539,859.4506,868.718,0
809.4872,850.989,832.0513,812.7106,815.9341,0
832.0513,841.3187,814.7253,836.0806,807.8755,0
887.2527,831.6484,795.7875,886.4469,878.3883,0
877.5824,821.5751,787.326,869.9268,984.7619,0
797.3993,811.0989,786.1172,797.3993,888.4615,0
760.7326,805.8608,784.5055,771.6117,842.9304,0
782.0879,805.0549,776.0439,793.3699,891.685,0
837.2894,801.4286,764.7619,841.7216,863.4799,0
857.8388,801.8315,765.5677,854.6154,902.1612,0
810.696,806.2637,774.8351,801.8315,869.9268,0
769.597,803.8461,776.8498,763.1502,833.2601,0
783.2967,800.6227,771.2088,788.9377,786.5201,0
837.6923,794.1758,761.5385,840.9158,823.5897,0
869.1208,794.9817,758.718,864.6887,952.5275,0
827.2161,801.0256,769.1942,821.1722,941.2454,0
767.9854,797.8022,773.6264,770.403,856.2271,0
778.4615,792.967,768.7912,788.9377,815.1282,0
838.0952,790.5494,761.1356,850.1832,864.2857,0
878.3883,790.9524,757.5092,881.6117,936.8132,0
845.348,795.7875,765.1649,839.304,872.3443,0
792.5641,798.608,776.4469,786.5201,807.0696,0
799.4139,794.9817,776.8498,798.2051,850.989,0
842.1245,791.7582,767.9854,839.707,865.4945,0
878.3883,789.3406,763.5531,868.718,925.1282,0
852.1978,791.7582,772.8205,841.7216,936.8132,0
791.3553,796.1905,782.0879,778.8644,865.0916,0
792.1612,794.9817,780.0732,784.5055,823.9927,0
845.348,795.3846,776.4469,839.707,800.2198,0
898.5348,801.4286,776.8498,887.2527,891.282,0
880.403,806.2637,784.9084,867.5092,925.5311,0
812.3077,805.0549,795.7875,805.0549,873.1502,0
804.652,803.8461,796.1905,805.4579,824.3956,0
845.7509,807.0696,789.7436,846.1539,758.718,0
899.7436,811.0989,785.3113,888.0586,873.5531,0
892.8938,815.5311,789.7436,876.3736,967.8388,0
825.2015,816.7399,800.2198,815.1282,902.967,0
816.7399,819.9634,805.0549,797.8022,858.2418,0
855.8242,823.5897,804.2491,838.0952,838.4982,0
903.3699,826.0073,799.011,892.0879,898.9377,0
911.4286,832.0513,803.4432,887.6557,906.1905,0
853.0037,834.8718,815.5311,830.8425,834.8718,0
822.7839,833.2601,818.3516,809.0842,832.0513,0
853.4066,836.0806,815.1282,844.1392,808.2784,0
908.2051,838.4982,810.696,899.3406,824.3956,0
913.0403,839.304,815.9341,896.1172,915.0549,0
848.5714,846.1539,831.2454,841.7216,882.0146,0
812.3077,847.7656,834.4689,817.1429,864.6887,0
842.9304,846.1539,828.8278,842.9304,831.6484,0
906.9963,850.989,823.5897,896.5201,841.7216,0
922.3077,854.2125,820.7692,905.3846,927.5458,0
868.315,860.6594,832.0513,854.2125,829.2308,0
826.4103,864.6887,843.3333,824.3956,828.8278,0
845.7509,863.8828,841.7216,847.7656,874.3589,0
902.1612,863.4799,833.663,903.7729,840.1099,0
925.5311,867.1062,836.0806,927.1429,891.282,0
882.4176,876.3736,849.7802,875.9707,862.2711,0
838.9011,880.403,861.8681,836.4835,804.2491,0
866.7033,890.8792,876.3736,868.315,778.4615,0
934.3956,905.3846,882.4176,933.5897,817.5458,0
978.315,910.6227,885.2381,965.0183,899.3406,0
943.663,915.0549,897.7289,921.5018,823.9927,0
887.6557,923.9194,910.6227,874.7619,772.8205,0
910.6227,938.4249,922.3077,902.967,829.6337,0
988.7912,960.989,938.8278,976.7033,797.8022,0
1062.93,997.2527,965.8242,1036.337,836.0806,0
1061.319,1031.099,998.8644,1029.487,897.326,0
1017.802,1048.022,1024.249,990.403,836.0806,0
1025.055,1051.648,1031.905,1008.132,826.0073,0
