Alpha, Beta, Eyes
0.245116,0.03368909,0
0.2919186,0.03604103,0
0.3401942,0.04036758,0
0.3779363,0.04419425,0
0.4015446,0.04776502,0
0.4283223,0.0515626,0
0.4493849,0.0542265,0
0.4542857,0.0533534,0
0.458447,0.04817629,0
0.4666154,0.03937319,0
0.4691678,0.02771778,0
0.4570619,0.01375597,0
0.4306334,0.0001917356,0
0.4192069,-0.009670009,0
0.4242924,-0.01449063,0
0.4327755,-0.0165765,0
0.4392477,-0.01933433,0
0.4413974,-0.02320644,0
0.4349498,-0.0257618,1
0.4232428,-0.02436354,1
0.4040139,-0.01649424,1
0.3849837,-0.01877565,1
0.3632124,-0.01901416,1
0.3434298,-0.01546307,1
0.3150747,-0.009196178,1
0.2622164,-0.00305508,1
0.2194134,0.0009525965,1
0.1919726,0.002300374,1
0.1702352,0.002420046,1
0.143625,0.003538887,1
0.1234656,0.009080744,1
0.1047403,0.02193423,1
0.1047403,0.02193423,1
0.1047403,0.02193423,1
0.1047403,0.02193423,1
0.1047403,0.02193423,1
0.1047403,0.02193423,1
0.1047403,0.02193423,1
0.1047403,0.02193423,1
0.1047403,0.02193423,1
0.4701433,0.248847,1
0.6199317,0.4171962,1
1.016061,0.8069685,1
1.016061,0.7901527,1
1.016061,0.7606151,1
1.016061,0.7318875,1
1.016061,0.7072135,1
1.016061,0.6847455,1
1.016061,0.6630794,1
1.016061,0.6411522,1
1.016061,0.6183807,1
1.016061,0.5960077,1
1.007422,0.5804101,1
1.007422,0.5638724,1
1.005147,0.5382328,1
0.9810601,0.4838103,1
0.8258395,0.4055515,1
0.5670194,0.3239098,1
0.3572922,0.2631415,1
0.2907969,0.2277713,1
0.2702416,0.2035054,1
0.2497682,0.1819917,1
0.2790529,0.166578,1
0.3509995,0.1595021,1
0.42541,0.1586688,1
0.4380195,0.1604399,1
0.4368463,0.1623698,1
0.4756493,0.1683311,1
0.6577035,0.1841715,1
0.8580979,0.2199735,1
0.9744732,0.2695212,1
1.112987,0.3484035,1
1.118439,0.4010217,1
1.118439,0.4179696,1
1.118439,0.4257442,1
1.118439,0.4313921,1
1.118439,0.440486,1
1.118276,0.4471602,1
1.118276,0.4536497,1
1.118276,0.4655941,1
1.118276,0.4695612,1
1.118276,0.4766335,1
1.118276,0.4828362,1
1.118276,0.482986,1
1.120172,0.4818132,1
1.120906,0.4438941,1
1.049198,0.4648184,1
0.6134866,0.3829094,1
0.5327635,0.3470733,1
0.5199344,0.3229629,1
0.5167456,0.3041624,1
0.5165724,0.2851731,1
0.5106934,0.2686058,1
0.5089412,0.2533411,1
0.5093744,0.2374061,1
0.5195112,0.2189241,1
0.5283006,0.1983895,1
0.5283006,0.1785647,1
0.5260466,0.1495935,1
0.5115988,0.1199089,1
0.4745566,0.09161332,1
0.4193427,0.06606026,1
0.3591925,0.04537527,1
0.3522574,0.04349441,1
